Job Title,Location,Minimum Salary,Maximum Salary,Technologies,Company,Seniority Level,Job Link
"SAS Software Engineer (preferred SAS CI, Viya)",Warszawa,Not specified,Not specified,"Data, Python, SAS, SAS Intelligent Decisioning (SID)",TotalDevs sp. z o.o.,Mid,https://nofluffjobs.com/pl/job/sas-software-engineer-preferred-sas-ci-viya-totaldevs-warszawa
Automation Tester / QA,Kraków,16 800,21 840,"Testing, Python, Selenium, Selenide",Scalo,Senior,https://nofluffjobs.com/pl/job/automation-tester-qa-scalo-krakow
Cloud Security Manager IAM with Okta,Zdalnie,20 160,22 848,"Security, Python, Okta, AWS",ITFS Sp. z o.o.,Mid,https://nofluffjobs.com/pl/job/cloud-security-manager-iam-with-okta-itfs-remote
Cloud Engineer,Krakow,25 200,33 600,"DevOps, Python, K8s, Cloud",Mindbox S.A.,Senior,https://nofluffjobs.com/pl/job/cloud-engineer-mindbox-krakow-2
Remote Atlassian Engineer,Zdalnie,Not specified,Not specified,"Sys. Administrator, Python, Groovy, Atlassian",G2A,Mid,https://nofluffjobs.com/pl/job/remote-atlassian-engineer-g2a
Remote Head of Data Analytics,Zdalnie,Not specified,Not specified,"Business Analysis, Python, SQL, R",G2A,Senior,https://nofluffjobs.com/pl/job/remote-head-of-data-analytics-g2a
Technical Support,Gdańsk,5 330,6 150,"Support, Python, Linux, SQL",Quod Financial,Trainee,https://nofluffjobs.com/pl/job/technical-support-quod-financial-gdansk-2
Technology Operation Officer,Wrocław,Not specified,Not specified,"DevOps, Python, Docker, AWS",HumanIT Group,Senior,https://nofluffjobs.com/pl/job/technology-operation-officer-humanit-group-wroclaw
Site Reliability Engineer + Kafka,Warszawa,25 200,25 200,"DevOps, Python, Kafka, SRE",Link Group,Senior,https://nofluffjobs.com/pl/job/site-reliability-engineer-kafka-link-group-warszawa
SENIOR CUSTOMER AND MARKETING ANALYST,Warsaw,12 000,15 000,"Business Analysis, Python, Cloud, AWS",Decathlon Sp. z o.o.,Mid,https://nofluffjobs.com/pl/job/senior-customer-and-marketing-analyst-decathlon-warsaw
Site Reliability Engineer + Hadoop,Warszawa,25 200,25 200,"DevOps, Python, Hadoop, SRE",Link Group,Senior,https://nofluffjobs.com/pl/job/site-reliability-engineer-hadoop-link-group-warszawa
Mid Fullstack Developer,Szczecin,15 000,22 000,"Fullstack, Python, JavaScript, Node.js",Consileon Polska,Mid,https://nofluffjobs.com/pl/job/mid-fullstack-developer-consileon-polska-szczecin
Head of Analytics,Zdalnie,Not specified,Not specified,"Business Intelligence, Python, Power BI, SQL",Magnetics,Expert,https://nofluffjobs.com/pl/job/head-of-analytics-magnetics-remote
Data Engineer in Warsaw (Middle/Spark),Warsaw,Not specified,Not specified,"Data, Python, Spark, DWH",TalentsToday,Mid,https://nofluffjobs.com/pl/job/data-engineer-in-warsaw-middle-spark-talentstoday-warsaw-1
"Sr Backend Developer with Golang (US, eCatholic)",Zdalnie,19 320,27 720,"Backend, Python, Golang, Go",From Poland With Dev,Senior,https://nofluffjobs.com/pl/job/sr-backend-developer-with-golang-us-ecatholic-from-poland-with-dev-remote
Full Stack Developer,Zdalnie,Not specified,Not specified,"Fullstack, Python, JavaScript, TypeScript",Hinty.co,Mid,https://nofluffjobs.com/pl/job/full-stack-developer-hinty-co-remote
Senior MLOps Engineer,Zdalnie,Not specified,Not specified,"AI/ML, Python, Azure, CD",ELEKS,Senior,https://nofluffjobs.com/pl/job/senior-mlops-engineer-eleks-remote
Middle/Senior Software Developer (C++),Zdalnie,Not specified,Not specified,"Backend, Python, C++, Multithreading",ELEKS,Senior,https://nofluffjobs.com/pl/job/middle-senior-software-developer-c--eleks-remote
